neighborhood,population,area_sqmi,population_density,young_adult_share,student_share,young_student_index,higher_income_share,transit_commute_share,walk_commute_share,food_establishments,food_establishments_per_10k_residents,food_establishments_per_sqmi,cafe_like_establishments,cafe_like_per_10k_residents,mbta_stops,mbta_stops_per_sqmi,parking_spaces,parking_spaces_per_sqmi,default_opportunity_score
West End,9306,0.27243909,34158.09383301053,0.052869116698903935,0.8672968226580603,0.4600829696784821,0.7144008953169143,0.18357656395111407,0.36858624662186945,89,95.63722329679777,326.67852473005985,15,16.118633139909736,139,510.20578581436314,191,701.0741373420385,71.5
Beacon Hill,9327,0.27730745,33634.148667841415,0.11354133161788356,0.893571826269294,0.5035565789435887,0.7755224766550884,0.12943756589447095,0.4108534435759892,46,49.319180872735075,165.8808661649732,7,7.505092741503163,71,256.03351081984994,310,1117.8927937204717,66.5
Downtown,15752,0.6472551,24336.617818847622,0.16404266124936517,0.9041283498239026,0.5340855055366338,0.6462293162000967,0.16444716352462388,0.4527728595202696,451,286.31284916201116,696.7886386681233,76,48.24784154393093,322,497.48545820650935,751,1160.2844071835048,63.9
North End,10635,0.18996419,55984.23576569879,0.16464503996238833,0.9005669091049766,0.5326059745336824,0.7332827675500521,0.15848919110822532,0.415016599037887,101,94.96944052656323,531.6791548975625,7,6.582040432534086,7,36.849050339435024,41,215.83015198811944,63
Back Bay,18983,0.51120196,37134.05167695367,0.1404414476110204,0.8667178324667747,0.5035796400388975,0.6590933421057869,0.1383618651305856,0.3454461688736385,249,131.16999420534162,487.0873343286869,39,20.544697887583627,89,174.0994889769202,1337,2615.4046827207003,60.7
Fenway,42351,1.05009517,40330.630222782565,0.4105924299308163,0.8405332326158538,0.625562831273335,0.40423282631093427,0.22638065210288347,0.4282295992533699,279,65.87801940922293,265.69020406026624,24,5.66692640079337,127,120.94141905252263,1310,1247.5059760535798,60.6
Longwood,5553,0.1958341,28355.633671561794,0.48856473978029896,0.8499901048882077,0.6692774223342534,0.44666666693748347,0.1311567504038335,0.6311451485653853,52,93.64307581487483,265.5308753684879,24,43.21988114532685,21,107.23362274496627,154,786.3799001297526,59.6
Chinatown,6371,0.1104785,57667.32893730455,0.12274368231046931,0.8048059299775892,0.4637748061440292,0.3936759619187178,0.16211262561639905,0.39856598241291774,81,127.13859676659864,733.1743280366769,22,34.5314707267305,6,54.309209484198284,295,2670.202799639749,58.3
South End,34582,0.84516682,40917.365875768766,0.0653519171823492,0.8419729949245811,0.45366245605346517,0.6224287400565911,0.1736057132033077,0.2960248416979039,110,31.808455265745188,130.15182020515192,21,6.0725232780058995,58,68.62550519908011,935,1106.2904717437914,56.3
Mission Hill,19000,0.60152902,31586.17351495361,0.3473684210526316,0.7501935207170418,0.5487809708848367,0.40738596965835727,0.27891684238822684,0.3335735628543368,43,22.631578947368418,71.48449795489502,6,3.1578947368421053,52,86.44636961987304,46,76.47178850988769,52.4
South Boston,40904,1.76876372,23125.757011795788,0.1042929786817915,0.8697238381276211,0.4870084084047063,0.7301595873201733,0.25585155586830244,0.08855830161526593,114,27.870134950127127,64.45179687425973,12,2.9336984158028554,134,75.75912965921758,0,0,48.6
Allston,31810,1.37762022,23090.543778458767,0.2859792518076077,0.789600222402174,0.5377897371048909,0.4888273815412106,0.2554681287413467,0.15881167062896054,184,57.843445457403334,133.56366096310634,31,9.745363093366866,86,62.4264937110171,611,443.51846113292385,46.1
Brighton,55869,2.71300705,20593.016888769234,0.20335069537668474,0.8273144659391445,0.5153325806579147,0.56781877170318,0.29127255559552756,0.058742319333921204,157,28.101451610016287,57.869366760399686,18,3.2218224775814854,126,46.44293128541631,147,54.18341983298569,44.2
Charlestown,19232,1.35365525,14207.457918107286,0.03925748752079867,0.804859821707783,0.4220586546142909,0.7234976414889221,0.18834882418455137,0.13630946211453315,90,46.79700499168053,66.48664791127578,19,9.87936772046589,82,60.57672365249571,71,52.450577796673116,43.1
Jamaica Plain,42949,3.38628698,12683.213281586666,0.07122400987217398,0.7909153945137043,0.43106970219293916,0.6852956054558877,0.2866236985100038,0.07160280529461256,98,22.81776059978114,28.940252429520903,14,3.2596800856830193,176,51.97433089383346,0,0,41.5
Roslindale,29378,2.18877684,13422.108395481742,0.052045748519300154,0.7941326409403936,0.42308919472984685,0.6713225925563964,0.18774549792305337,0.032432862383112986,54,18.381101504527198,24.671313682211657,6,2.042344611614133,129,58.93702712972785,0,0,41.1
South Boston Waterfront,8289,1.29550749,6398.264822073703,0.05597780190614067,0.9431712236448129,0.49957451277547676,0.861151743150622,0.09242721873387963,0.35687242992795254,216,260.58631921824104,166.730027936774,28,33.77970804680902,40,30.875931099402596,536,413.7374767319948,40.4
Dorchester,123056,7.27760329,16908.863412366627,0.09171434143804447,0.7525271522335059,0.42212074683577516,0.49256985086542193,0.2703254485640533,0.055653163548003065,237,19.259524119100245,32.56566627170468,19,1.5440124821219607,506,69.52838452946231,0,0,39.9
Roxbury,56800,3.46485683,16393.173740457263,0.1545598591549296,0.776358865508344,0.46545936233163676,0.32461312170406686,0.31611768173365445,0.10111767615331896,112,19.718309859154928,32.32456793892982,14,2.464788732394366,261,75.3277877862561,26,7.503917557251564,39.1
East Boston,46892,4.8509574,9666.545412252022,0.07869146123006056,0.8126196238999868,0.44565554256502365,0.5788003797170602,0.4269138163724346,0.05467416260297716,219,46.7030623560522,45.145727315601654,25,5.331399812334727,242,49.88705940810777,0,0,37.9
Hyde Park,33469,4.97976958,6720.993705094283,0.05841226209328035,0.7668975693147921,0.41265491570403623,0.6534065954095283,0.16183686793077665,0.029958217770741424,41,12.25014192237593,8.23331267468002,2,0.5975678986524844,160,32.130000681678126,0,0,37.3
West Roxbury,31381,5.13464442,6111.620870525636,0.04623816959306587,0.7773020683266474,0.4117701189598566,0.6565947215424223,0.12600894545338073,0.01820233502471707,56,17.845192951148785,10.906305367879789,5,1.593320799209713,189,36.808780616594284,0,0,36.9
Mattapan,24424,2.72930365,8948.802746810528,0.05658368817556502,0.7522178548277021,0.40440077150163356,0.48675288830526603,0.23565094264993566,0.025538848124657138,42,17.196200458565347,15.388540589831404,5,2.0471667212577795,86,31.509868826797636,0,0,34.6
Leather District,0,0.024333808571100235,0,0,0,0,0,0,0,14,0,575.3312293508768,5,0,2,82.19017562155382,89,3657.462815159145,18.2
Bay Village,0,0.041292713955044746,0,0,0,0,0,0,0,5,0,121.08673712857636,0,0,2,48.43469485143054,75,1816.3010569286455,14.3
Harbor Islands,0,1.2834491021931171,0,0,0,0,0,0,0,0,0,0,0,0,2,1.558300984887101,0,0,10
